Team,player,span,match,innings,no,runs,hs,ave,bf,sr,r_100,r_50,r_0
ENG,EJG Morgan,2009-2022,225,207,32,6957,148,39.75,7409,93.89,13,42,15
ENG,JE Root,2013-2023,166,155,23,6418,133*,48.62,7381,86.95,16,38,8
ENG,IR Bell,2004-2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6
ENG,PD Collingwood,2001-2011,197,181,37,5092,120*,c,6614,76.98,5,26,7
ENG,JC Buttler,2012-2023,173,146,26,4910,162*,40.91,4164,117.91,11,25,13
ENG,AJ Stewart,1989-2003,170,162,14,4677,116,31.6,6841,68.36,4,28,13
ENG,KP Pietersen,2004-2013,134,123,16,4422,130,41.32,5100,86.7,9,25,7
ENG,ME Trescothick,2000-2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13
ENG,GA Gooch,1976-1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4
ENG,JJ Roy,2015-2023,116,110,3,4271,180,39.91,4047,105.53,12,21,11
ENG,AJ Strauss,2003-2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9
ENG,AJ Lamb,1982-1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8
ENG,GA Hick,1991-2001,120,118,15,3846,126*,37.33,5191,74.08,5,27,10
ENG,JM Bairstow,2011-2023,102,93,8,3750,141*,44.11,3625,103.44,11,16,8
ENG,NV Knight,1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6
ENG,A Flintoff,1999-2009,138,119,16,3293,123,31.97,3694,89.14,3,18,9
ENG,AN Cook,2006-2014,92,92,4,3204,137,36.4,4154,77.13,5,19,7
ENG,DI Gower,1978-1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6
ENG,BA Stokes,2011-2023,109,94,15,3164,182,40.05,3286,96.28,4,22,6
ENG,IJL Trott,2009-2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5
ENG,RS Bopara,2007-2015,120,109,21,2695,101*,30.62,3462,77.84,1,14,4
ENG,AD Hales,2014-2019,70,67,3,2419,171,37.79,2527,95.72,6,14,5
ENG,RA Smith,1988-1996,71,70,8,2419,167*,39.01,3473,69.65,4,15,4
